dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
kodak,01.png,6.0,90.0,1218671532,0.6416305303573608,-1.174882411956787,-0.2806810736656189,0.30404072999954224,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0032408954575657845,24.89334977895458,0.9302789568901062,0.22067253291606903,0
kodak,01.png,6.0,90.0,1218671532,0.6416305303573608,-1.174882411956787,-0.2806810736656189,0.30404072999954224,same_codec_direct,0,4096,4096,12290,0.00999235175549984,20.00332286124747,0.7723715305328369,0.580074667930603,1
kodak,01.png,6.0,90.0,1218671532,0.6416305303573608,-1.174882411956787,-0.2806810736656189,0.30404072999954224,same_codec_full_HARQ,1,4096,8192,16388,0.009911423549056053,20.038639645763126,0.7744425535202026,0.5806342363357544,1
kodak,01.png,6.0,90.0,1218671532,0.6416305303573608,-1.174882411956787,-0.2806810736656189,0.30404072999954224,adaptive_HARQ,1,4096,8192,16388,0.009911423549056053,20.038639645763126,0.7744425535202026,0.5806342363357544,1
kodak,01.png,6.0,90.0,1218671532,0.6416305303573608,-1.174882411956787,-0.2806810736656189,0.30404072999954224,FlowHARQ,1,4096,8192,16388,0.009911423549056053,20.038639645763126,0.7744425535202026,0.5806342363357544,1
kodak,01.png,6.0,120.0,2598648340,-1.1842966079711914,-1.1172325611114502,0.8890453577041626,-0.051896631717681885,SwinJSCC_author_one_shot,0,16,4096,4130,0.003046283032745123,25.162297484560014,0.9369083642959595,0.22327768802642822,0
kodak,01.png,6.0,120.0,2598648340,-1.1842966079711914,-1.1172325611114502,0.8890453577041626,-0.051896631717681885,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.002922172425314784,25.34294161723615,0.9406384825706482,0.2163621485233307,0
kodak,01.png,6.0,120.0,2598648340,-1.1842966079711914,-1.1172325611114502,0.8890453577041626,-0.051896631717681885,same_codec_direct,0,4096,4096,12290,0.009646551683545113,20.156279045260852,0.7844144105911255,0.5649723410606384,1
kodak,01.png,6.0,120.0,2598648340,-1.1842966079711914,-1.1172325611114502,0.8890453577041626,-0.051896631717681885,same_codec_full_HARQ,1,4096,8192,16388,0.009613873437047005,20.17101599489866,0.7868978977203369,0.5651531219482422,1
kodak,01.png,6.0,120.0,2598648340,-1.1842966079711914,-1.1172325611114502,0.8890453577041626,-0.051896631717681885,adaptive_HARQ,1,4096,8192,16388,0.009613873437047005,20.17101599489866,0.7868978977203369,0.5651531219482422,1
kodak,01.png,6.0,120.0,2598648340,-1.1842966079711914,-1.1172325611114502,0.8890453577041626,-0.051896631717681885,FlowHARQ,1,4096,8192,16388,0.009613873437047005,20.17101599489866,0.7868978977203369,0.5651531219482422,1
kodak,01.png,9.0,30.0,527723446,1.2425179481506348,1.2553203105926514,1.1711194515228271,0.6142667531967163,SwinJSCC_author_one_shot,0,16,4096,4130,0.002732402179390192,25.63455376939649,0.9451497793197632,0.21615812182426453,0
kodak,01.png,9.0,30.0,527723446,1.2425179481506348,1.2553203105926514,1.1711194515228271,0.6142667531967163,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.002666883170604706,25.739960092343996,0.9475616216659546,0.2144639790058136,0
kodak,01.png,9.0,30.0,527723446,1.2425179481506348,1.2553203105926514,1.1711194515228271,0.6142667531967163,same_codec_direct,0,4096,4096,12290,0.009536448866128922,20.20613315542695,0.7913605570793152,0.5647779703140259,1
kodak,01.png,9.0,30.0,527723446,1.2425179481506348,1.2553203105926514,1.1711194515228271,0.6142667531967163,same_codec_full_HARQ,1,4096,8192,16388,0.009473491460084915,20.234899320427946,0.7943522334098816,0.5627245903015137,1
kodak,01.png,9.0,30.0,527723446,1.2425179481506348,1.2553203105926514,1.1711194515228271,0.6142667531967163,adaptive_HARQ,1,4096,8192,16388,0.009473491460084915,20.234899320427946,0.7943522334098816,0.5627245903015137,1
kodak,01.png,9.0,30.0,527723446,1.2425179481506348,1.2553203105926514,1.1711194515228271,0.6142667531967163,FlowHARQ,1,4096,8192,16388,0.009473491460084915,20.234899320427946,0.7943522334098816,0.5627245903015137,1
kodak,01.png,9.0,60.0,2930246916,0.06835175305604935,0.17025181651115417,1.0088129043579102,-0.11705780774354935,SwinJSCC_author_one_shot,0,16,4096,4130,0.0812152624130249,10.90362348112304,0.2307402789592743,0.7211244106292725,1
kodak,01.png,9.0,60.0,2930246916,0.06835175305604935,0.17025181651115417,1.0088129043579102,-0.11705780774354935,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.003228178946301341,24.91042399217251,0.9306502342224121,0.22195784747600555,0
kodak,01.png,9.0,60.0,2930246916,0.06835175305604935,0.17025181651115417,1.0088129043579102,-0.11705780774354935,same_codec_direct,0,4096,4096,12290,0.014459941536188126,18.398334629586536,0.5295376777648926,0.7500052452087402,1
kodak,01.png,9.0,60.0,2930246916,0.06835175305604935,0.17025181651115417,1.0088129043579102,-0.11705780774354935,same_codec_full_HARQ,1,4096,8192,16388,0.009670300409197807,20.145600342902735,0.779914379119873,0.5720409750938416,1
kodak,01.png,9.0,60.0,2930246916,0.06835175305604935,0.17025181651115417,1.0088129043579102,-0.11705780774354935,adaptive_HARQ,1,4096,8192,16388,0.009670300409197807,20.145600342902735,0.779914379119873,0.5720409750938416,1
kodak,01.png,9.0,60.0,2930246916,0.06835175305604935,0.17025181651115417,1.0088129043579102,-0.11705780774354935,FlowHARQ,1,4096,8192,16388,0.009670300409197807,20.145600342902735,0.779914379119873,0.5720409750938416,1
kodak,01.png,9.0,90.0,83356973,-0.966018557548523,0.5309978723526001,-0.20959851145744324,-0.019065886735916138,SwinJSCC_author_one_shot,0,16,4096,4130,0.0031214626505970955,25.05641857188443,0.9328181147575378,0.22309979796409607,0
kodak,01.png,9.0,90.0,83356973,-0.966018557548523,0.5309978723526001,-0.20959851145744324,-0.019065886735916138,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.003109944984316826,25.072472936802225,0.9333324432373047,0.22230397164821625,0
kodak,01.png,9.0,90.0,83356973,-0.966018557548523,0.5309978723526001,-0.20959851145744324,-0.019065886735916138,same_codec_direct,0,4096,4096,12290,0.009663797914981842,20.148521603998788,0.7826966047286987,0.5741990208625793,1
kodak,01.png,9.0,90.0,83356973,-0.966018557548523,0.5309978723526001,-0.20959851145744324,-0.019065886735916138,same_codec_full_HARQ,1,4096,8192,16388,0.009680982679128647,20.140805569000438,0.7827216386795044,0.573370635509491,1
kodak,01.png,9.0,90.0,83356973,-0.966018557548523,0.5309978723526001,-0.20959851145744324,-0.019065886735916138,adaptive_HARQ,1,4096,8192,16388,0.009680982679128647,20.140805569000438,0.7827216386795044,0.573370635509491,1
kodak,01.png,9.0,90.0,83356973,-0.966018557548523,0.5309978723526001,-0.20959851145744324,-0.019065886735916138,FlowHARQ,1,4096,8192,16388,0.009680982679128647,20.140805569000438,0.7827216386795044,0.573370635509491,1
kodak,01.png,9.0,120.0,4185258710,0.5282595157623291,0.35769957304000854,-0.5672202110290527,-0.4654618501663208,SwinJSCC_author_one_shot,0,16,4096,4130,0.005489940755069256,22.604323422321183,0.8730078935623169,0.26541706919670105,1
kodak,01.png,9.0,120.0,4185258710,0.5282595157623291,0.35769957304000854,-0.5672202110290527,-0.4654618501663208,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0032661675941199064,24.859615344388914,0.9290676116943359,0.2284451276063919,0
kodak,01.png,9.0,120.0,4185258710,0.5282595157623291,0.35769957304000854,-0.5672202110290527,-0.4654618501663208,same_codec_direct,0,4096,4096,12290,0.010260509327054024,19.888310805069636,0.7522937059402466,0.582720160484314,1
kodak,01.png,9.0,120.0,4185258710,0.5282595157623291,0.35769957304000854,-0.5672202110290527,-0.4654618501663208,same_codec_full_HARQ,1,4096,8192,16388,0.009695300832390785,20.134387107915337,0.7751376032829285,0.5750323534011841,1
kodak,01.png,9.0,120.0,4185258710,0.5282595157623291,0.35769957304000854,-0.5672202110290527,-0.4654618501663208,adaptive_HARQ,1,4096,8192,16388,0.009695300832390785,20.134387107915337,0.7751376032829285,0.5750323534011841,1
kodak,01.png,9.0,120.0,4185258710,0.5282595157623291,0.35769957304000854,-0.5672202110290527,-0.4654618501663208,FlowHARQ,1,4096,8192,16388,0.009695300832390785,20.134387107915337,0.7751376032829285,0.5750323534011841,1
kodak,01.png,12.0,30.0,999311957,0.17361663281917572,-0.5492565631866455,-0.20129995048046112,-0.4708269238471985,SwinJSCC_author_one_shot,0,16,4096,4130,0.003756430698558688,24.252246189395375,0.9116569757461548,0.24408087134361267,0
kodak,01.png,12.0,30.0,999311957,0.17361663281917572,-0.5492565631866455,-0.20129995048046112,-0.4708269238471985,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.003133755177259445,25.039349355376437,0.9327648878097534,0.22676414251327515,0
kodak,01.png,12.0,30.0,999311957,0.17361663281917572,-0.5492565631866455,-0.20129995048046112,-0.4708269238471985,same_codec_direct,0,4096,4096,12290,0.00992255937308073,20.03376293748671,0.7694587111473083,0.5948879718780518,1
kodak,01.png,12.0,30.0,999311957,0.17361663281917572,-0.5492565631866455,-0.20129995048046112,-0.4708269238471985,same_codec_full_HARQ,1,4096,8192,16388,0.009678171016275883,20.14206708041744,0.7795125246047974,0.5792936086654663,1
kodak,01.png,12.0,30.0,999311957,0.17361663281917572,-0.5492565631866455,-0.20129995048046112,-0.4708269238471985,adaptive_HARQ,1,4096,8192,16388,0.009678171016275883,20.14206708041744,0.7795125246047974,0.5792936086654663,1
kodak,01.png,12.0,30.0,999311957,0.17361663281917572,-0.5492565631866455,-0.20129995048046112,-0.4708269238471985,FlowHARQ,1,4096,8192,16388,0.009678171016275883,20.14206708041744,0.7795125246047974,0.5792936086654663,1
kodak,01.png,12.0,60.0,2778326340,-0.48001644015312195,0.4459567964076996,0.8251795172691345,0.4796083867549896,SwinJSCC_author_one_shot,0,16,4096,4130,0.0033333557657897472,24.77118332041886,0.9243240356445312,0.22774186730384827,0
kodak,01.png,12.0,60.0,2778326340,-0.48001644015312195,0.4459567964076996,0.8251795172691345,0.4796083867549896,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0027542905882000923,25.599902419315875,0.944196343421936,0.21554787456989288,0
kodak,01.png,12.0,60.0,2778326340,-0.48001644015312195,0.4459567964076996,0.8251795172691345,0.4796083867549896,same_codec_direct,0,4096,4096,12290,0.009638435207307339,20.15993467756244,0.7795522212982178,0.57804274559021,1
kodak,01.png,12.0,60.0,2778326340,-0.48001644015312195,0.4459567964076996,0.8251795172691345,0.4796083867549896,same_codec_full_HARQ,1,4096,8192,16388,0.009439857676625252,20.250345534479315,0.792587161064148,0.5670363306999207,1
kodak,01.png,12.0,60.0,2778326340,-0.48001644015312195,0.4459567964076996,0.8251795172691345,0.4796083867549896,adaptive_HARQ,1,4096,8192,16388,0.009439857676625252,20.250345534479315,0.792587161064148,0.5670363306999207,1
kodak,01.png,12.0,60.0,2778326340,-0.48001644015312195,0.4459567964076996,0.8251795172691345,0.4796083867549896,FlowHARQ,1,4096,8192,16388,0.009439857676625252,20.250345534479315,0.792587161064148,0.5670363306999207,1
kodak,01.png,12.0,90.0,4026262168,-1.5034031867980957,0.3386189341545105,-0.6522573828697205,-0.5157248377799988,SwinJSCC_author_one_shot,0,16,4096,4130,0.0026962347328662872,25.692423010273487,0.9477619528770447,0.2131749391555786,0
kodak,01.png,12.0,90.0,4026262168,-1.5034031867980957,0.3386189341545105,-0.6522573828697205,-0.5157248377799988,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.00265399063937366,25.761006132257414,0.9487606287002563,0.21296417713165283,0
kodak,01.png,12.0,90.0,4026262168,-1.5034031867980957,0.3386189341545105,-0.6522573828697205,-0.5157248377799988,same_codec_direct,0,4096,4096,12290,0.009393416345119476,20.271764279688917,0.7954632639884949,0.5631858110427856,1
kodak,01.png,12.0,90.0,4026262168,-1.5034031867980957,0.3386189341545105,-0.6522573828697205,-0.5157248377799988,same_codec_full_HARQ,1,4096,8192,16388,0.009374931454658508,20.28031898957299,0.7959463000297546,0.5623084902763367,1
