model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,0,100057070,1,10,256,256,0.041666666666666664,0.004552888218313456,23.417131423950195,0.8723161220550537,8.938638687133789,0.5242273807525635
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,1,100057071,1,10,256,256,0.041666666666666664,0.004564768634736538,23.40581512451172,0.8744141459465027,9.01059341430664,0.5219484567642212
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,2,100057072,1,10,256,256,0.041666666666666664,0.004599527455866337,23.372867584228516,0.8706071376800537,8.880897521972656,0.5200633406639099
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,3,100057073,1,10,256,256,0.041666666666666664,0.004552904982119799,23.4171142578125,0.8746061325073242,9.017237663269043,0.5222944617271423
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,4,100057074,1,10,256,256,0.041666666666666664,0.0045614829286932945,23.408939361572266,0.8724054098129272,8.94167709350586,0.5158564448356628
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,5,100057075,1,10,256,256,0.041666666666666664,0.004598503466695547,23.37383460998535,0.8703240752220154,8.871406555175781,0.5183959603309631
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,6,100057076,1,10,256,256,0.041666666666666664,0.004561315756291151,23.409099578857422,0.870905876159668,8.890935897827148,0.515977680683136
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,7,100057077,1,10,256,256,0.041666666666666664,0.0045639281161129475,23.406612396240234,0.8740085959434509,8.996590614318848,0.5275571346282959
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,8,100057078,1,10,256,256,0.041666666666666664,0.004569376353174448,23.401432037353516,0.8710424304008484,8.89553165435791,0.5202186703681946
DeepJSCC-f_author_DIV2K,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,9,100057079,1,10,256,256,0.041666666666666664,0.004613065160810947,23.360103607177734,0.8696936368942261,8.85034465789795,0.5179004073143005
