dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
div2k,0825.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,18.143966674804688,0.015332157723605633,0.489419162273407,0.8206166625022888,1,1
div2k,0826.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,16.570098876953125,0.022028766572475433,0.711359977722168,0.7173054218292236,1,1
div2k,0827.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,17.811847686767578,0.016550658270716667,0.7132636308670044,0.4654114544391632,1,1
div2k,0828.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,10.949846267700195,0.0803554430603981,0.9174095988273621,0.20509083569049835,1,1
div2k,0825.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,18.604642868041992,0.013789092190563679,0.4762287139892578,0.8437989354133606,1,0
div2k,0826.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,16.827470779418945,0.020761219784617424,0.6948845982551575,0.7415584921836853,1,0
div2k,0827.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,21.778154373168945,0.006640250328928232,0.628997802734375,0.6820134520530701,1,0
div2k,0828.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,12.26297378540039,0.059388529509305954,0.6041496992111206,0.6624882817268372,1,0
div2k,0825.png,2030,8001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,18.17032814025879,0.01523937564343214,0.4884159564971924,0.8196547627449036,1,1
div2k,0826.png,2030,8001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,16.555221557617188,0.022104350849986076,0.7073505520820618,0.7135552763938904,1,1
div2k,0827.png,2030,8001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,17.904874801635742,0.016199909150600433,0.7168059945106506,0.4548156261444092,1,1
div2k,0828.png,2030,8001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,10.91868782043457,0.08093404769897461,0.9111852645874023,0.2059955596923828,1,1
div2k,0825.png,2030,8001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,18.604642868041992,0.013789092190563679,0.4762287139892578,0.8437989354133606,1,0
div2k,0826.png,2030,8001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,16.827470779418945,0.020761219784617424,0.6948845982551575,0.7415584921836853,1,0
div2k,0827.png,2030,8001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,21.778154373168945,0.006640250328928232,0.628997802734375,0.6820134520530701,1,0
div2k,0828.png,2030,8001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,12.26297378540039,0.059388529509305954,0.6041496992111206,0.6624882817268372,1,0
div2k,0825.png,2030,8001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,18.604642868041992,0.013789092190563679,0.4762287139892578,0.8437989354133606,1,0
div2k,0826.png,2030,8001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,16.827470779418945,0.020761219784617424,0.6948845982551575,0.7415584921836853,1,0
div2k,0827.png,2030,8001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,21.778154373168945,0.006640250328928232,0.628997802734375,0.6820134520530701,1,0
div2k,0828.png,2030,8001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,12.26297378540039,0.059388529509305954,0.6041496992111206,0.6624882817268372,1,0
div2k,0829.png,2030,8001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,18.04752540588379,0.01567644067108631,0.7297670245170593,0.6547248959541321,1,1
